feature,importance,category
CHAR: * **,0.0420762,CHAR
CHAR: ** ,0.019922683,CHAR
CHAR: :** ,0.018896759,CHAR
CHAR: s*,0.017113617,CHAR
CHAR: atio,0.013306147,CHAR
POS: nn jj nnp nnp nn,0.01306827,POS
CHAR: . -,0.011878486,CHAR
CHAR: tio,0.011806042,CHAR
CHAR: **,0.011777282,CHAR
CHAR:  *,0.011159036,CHAR
WORD: let me know if you,0.008964052,WORD
CHAR: * *,0.008087836,CHAR
WORD: know if you,0.0073783714,WORD
CHAR: . **,0.0072001326,CHAR
CHAR: pro,0.0064669745,CHAR
CHAR: * ,0.0060899113,CHAR
WORD: let me know,0.0056339144,WORD
CHAR: - **,0.00558908,CHAR
CHAR: # ,0.0053932844,CHAR
CHAR: pr,0.004910103,CHAR
"CHAR: 
-",0.00488115,CHAR
CHAR: --,0.0046864697,CHAR
"CHAR: 
- ",0.0043549584,CHAR
CHAR:  di,0.0042880834,CHAR
WORD: elaborate on any,0.0041686944,WORD
WORD: like me to elaborate,0.004078053,WORD
POS: nn jj nnp,0.003975614,POS
CHAR: - ,0.003927789,CHAR
POS: jj nnp nnp nnp,0.0038751685,POS
POS: nnp nnp nnp nn nn,0.0038058127,POS
CHAR: . *,0.0037890098,CHAR
POS: cd vb jj,0.0037726944,POS
CHAR:  (,0.0037002277,CHAR
WORD: me to elaborate,0.0035713026,WORD
POS: jj nns cd,0.0034769285,POS
POS: in dt nn cc,0.0033057006,POS
"CHAR: "" ",0.003096828,CHAR
POS: jj nn nns,0.0029683004,POS
CHAR: f ,0.002957545,CHAR
POS: nn jj nn in,0.0028996188,POS
CHAR: ##,0.0028563414,CHAR
CHAR: : ,0.0028345326,CHAR
CHAR: na,0.0028302448,CHAR
CHAR: ica,0.0027802156,CHAR
"CHAR: .
",0.0027190263,CHAR
CHAR: the ,0.0027164156,CHAR
CHAR:  1,0.0026749088,CHAR
WORD: like me to elaborate on,0.0025857706,WORD
"CHAR: , ",0.0025854385,CHAR
POS: cc jj nnp nnp,0.0025653886,POS
WORD: me know if you need,0.0025609438,WORD
POS: nnp nn jj,0.0025087658,POS
POS: nn nnp nnp,0.002461907,POS
CHAR:  ##,0.0024061701,CHAR
WORD: apologize but cannot,0.0023746837,WORD
"CHAR:  """,0.0023653335,CHAR
CHAR:  * ,0.0023400458,CHAR
WORD: would you like,0.0022551203,WORD
WORD: would you like me,0.0022353688,WORD
POS: nn nn jj,0.0022030554,POS
POS: jj nnp nnp nnp nn,0.0021893336,POS
CHAR: ---,0.002143463,CHAR
CHAR: ve ,0.0021367848,CHAR
CHAR: omp,0.0021083911,CHAR
CHAR: :**,0.0020979098,CHAR
POS: jj nnp nnp cc,0.0020843134,POS
POS: jj nn dt,0.0020774093,POS
CHAR:  it,0.0020636867,CHAR
CHAR: w ,0.0020278497,CHAR
CHAR:  -,0.0020272927,CHAR
POS: nns in jj,0.0020098428,POS
WORD: such as the,0.0020097091,WORD
WORD: me to elaborate on,0.0019841276,WORD
CHAR: c ,0.001983419,CHAR
CHAR: di,0.0019512599,CHAR
POS: nn wdt vbz,0.0019227021,POS
POS: in nnp nnp nnp,0.001906582,POS
POS: nnp nnp nn nnp,0.0018743249,POS
CHAR: of,0.0018721304,CHAR
POS: jj nns vbg,0.0018695542,POS
CHAR: rat,0.0018329086,CHAR
WORD: in the early,0.0018175774,WORD
POS: vb prp vb,0.0018139613,POS
CHAR: tha,0.0018052857,CHAR
CHAR: . ,0.0017934948,CHAR
POS: nns vb jj,0.0017791893,POS
POS: nn vbz dt,0.0017484014,POS
CHAR: anc,0.0017228001,CHAR
POS: nnp nnp nn jj,0.0017125731,POS
CHAR: all,0.001708668,CHAR
POS: nnp nns in,0.0017013684,POS
WORD: you re asking,0.0016967251,WORD
POS: nns dt nn,0.0016940859,POS
CHAR: gh,0.0016919182,CHAR
CHAR:  n,0.0016824168,CHAR
POS: jj nns vb,0.001682369,POS
CHAR:  on,0.0016795815,CHAR
WORD: let break down,0.0016646441,WORD
POS: vb jj nnp nnp nnp,0.0016529834,POS
CHAR: e.,0.0016509288,CHAR
POS: nns in nns,0.0016489833,POS
CHAR: ng ,0.0016487153,CHAR
POS: nn prp vbp,0.0016450569,POS
CHAR: ni,0.0016279725,CHAR
POS: nn nnp nn nn,0.001618059,POS
CHAR:  th,0.0016136976,CHAR
POS: nn in vbg,0.0016118471,POS
CHAR: be,0.0016035081,CHAR
POS: nn cd vb jj nnp,0.0015988956,POS
CHAR: ow,0.0015907646,CHAR
CHAR:  of ,0.0015889193,CHAR
POS: nn nnp cd,0.0015814847,POS
POS: jj cc jj,0.0015791807,POS
POS: vb jj nns,0.0015766454,POS
CHAR: per,0.0015750318,CHAR
CHAR: ee,0.0015574858,CHAR
POS: nn vbz nnp,0.0015555369,POS
CHAR: m ,0.0015529422,CHAR
POS: vb in dt,0.0015524925,POS
POS: in nn in,0.0015449451,POS
CHAR:  st,0.0015324365,CHAR
CHAR: nt,0.0015304587,CHAR
CHAR: ical,0.0015303722,CHAR
CHAR: you,0.0015274301,CHAR
POS: nns in nn,0.0015273332,POS
POS: cc dt jj,0.0015242363,POS
CHAR: com,0.0015143101,CHAR
CHAR: sti,0.0015110577,CHAR
