feature,importance,category
WORD: let me know if,0.012160866,WORD
WORD: let me know if you,0.010595062,WORD
WORD: know if you,0.009355563,WORD
WORD: you like me to elaborate,0.008776291,WORD
CHAR:  (,0.007003601,CHAR
WORD: me to elaborate,0.00630777,WORD
CHAR: | ,0.006278662,CHAR
CHAR: ) ,0.0057385904,CHAR
CHAR: : ,0.0055970554,CHAR
WORD: let me know,0.005282453,WORD
WORD: like me to elaborate,0.005230158,WORD
CHAR: ---,0.0047358535,CHAR
CHAR: s (,0.0047216048,CHAR
WORD: would you like,0.004702292,WORD
WORD: like me to elaborate on,0.004365949,WORD
CHAR:  | ,0.004338507,CHAR
POS: nn vbn in,0.0043347743,POS
POS: in dt jj nn nn,0.0039163115,POS
CHAR: tion,0.0038113948,CHAR
"CHAR: .
",0.0038066707,CHAR
POS: nns jj nn,0.0037756015,POS
POS: dt nnp nnp,0.0036775367,POS
CHAR:  |,0.0036655732,CHAR
POS: cc nnp nnp nnp,0.0034795841,POS
"CHAR: "" ",0.0032893724,CHAR
POS: jj nns prp,0.0032340996,POS
CHAR: --,0.0032167584,CHAR
POS: nn jj nn,0.0031920823,POS
CHAR: omp,0.0030657714,CHAR
POS: jj nns in nnp,0.0030592475,POS
POS: vbz jj nn,0.0030589455,POS
POS: vbn in nn,0.0030532607,POS
CHAR: e.,0.0030403465,CHAR
POS: nnp nnp cc nnp,0.002930652,POS
CHAR: ati,0.0028841756,CHAR
POS: rb vbz dt,0.0028697609,POS
CHAR: ----,0.0026881048,CHAR
POS: nn cc nn in,0.0026731095,POS
POS: nn nns nnp,0.0026499256,POS
POS: nn nns nn,0.0026477831,POS
POS: nnp nn vbz,0.0026041202,POS
"CHAR:  """,0.00259658,CHAR
CHAR:  le,0.0025886435,CHAR
POS: prp md rb,0.0025812087,POS
WORD: apologize but cannot,0.0025715043,WORD
WORD: feel free to,0.002563309,WORD
CHAR: og,0.002550862,CHAR
POS: nnp nn cc,0.0023850065,POS
POS: jj nn nns,0.002373051,POS
WORD: like me to,0.0023682695,WORD
CHAR: . ,0.002339461,CHAR
CHAR:  pro,0.0022661232,CHAR
POS: cc dt nn,0.002251784,POS
WORD: me know if,0.002190312,WORD
POS: nnp cd nnp nnp,0.0021807323,POS
POS: nn nn jj nn,0.0021764021,POS
POS: vb prp vb,0.0021626526,POS
POS: nn dt jj,0.0021602619,POS
POS: dt nn vbg,0.0021546104,POS
POS: jj nn prp,0.0021499805,POS
WORD: would you like me to,0.002126529,WORD
POS: nns vbp jj,0.0021217612,POS
POS: nnp nnp nnp vbz,0.002111104,POS
POS: md rb vb,0.00209933,POS
POS: dt nn vbd,0.00206649,POS
WORD: if you need,0.0020615924,WORD
POS: jj cc jj nn,0.0020592092,POS
POS: nn nn rb,0.0020298907,POS
WORD: know if you need,0.0020159795,WORD
"CHAR: , ",0.002008227,CHAR
POS: dt nn nnp,0.0020003745,POS
WORD: you like me to,0.0019861313,WORD
POS: rb in dt,0.0019821634,POS
POS: nnp in nnp nnp,0.0019533837,POS
POS: in nn cc,0.001918185,POS
POS: vbg jj nn,0.0019133918,POS
CHAR: atio,0.0018990254,CHAR
CHAR: ica,0.0018666539,CHAR
WORD: if you re,0.0018347021,WORD
POS: prp vbp jj,0.0018344201,POS
POS: jj nns in nn,0.0018322926,POS
CHAR: it ,0.0018264737,CHAR
POS: dt nnp nn,0.0018254076,POS
CHAR: of ,0.0018053707,CHAR
POS: nn rb vbz,0.0018032044,POS
POS: nns nnp nnp,0.0018009341,POS
POS: dt jj nn cc,0.0017803878,POS
CHAR: ate,0.0017402985,CHAR
POS: in nn in,0.0017321834,POS
POS: vbp jj nn,0.0017256553,POS
POS: nnp nnp prp,0.0017122016,POS
CHAR:  it,0.0017111223,CHAR
POS: nnp jj nn,0.0017050364,POS
CHAR:  is ,0.0017049105,CHAR
