rank,feature,type,importance,owner,owner_value,ratio,chatgpt-4o-latest-20250326_mean,claude-3-5-haiku-20241022_mean,deepseek-r1-0528_mean
1,* **,CHAR,0.04207620024681091,deepseek-r1-0528,0.03954261263435847,14.238546028304498,0.0034824526333697096,0.0020718502171048494,0.03954261263435847
2,** ,CHAR,0.019922683015465736,deepseek-r1-0528,0.07493505583723215,2.625207010278715,0.050302256112284,0.006786615674683671,0.07493505583723215
3,:** ,CHAR,0.018896758556365967,deepseek-r1-0528,0.062430591897443495,7.2767146129941995,0.012911685482860584,0.004247317704991563,0.062430591897443495
4,s*,CHAR,0.017113616690039635,chatgpt-4o-latest-20250326,0.018047690263357993,2.397540051842376,0.018047690263357993,0.0022687376480237244,0.012786433465342494
5,atio,CHAR,0.013306147418916225,claude-3-5-haiku-20241022,0.02930081661856629,1.4390472330346604,0.017747046779607527,0.02930081661856629,0.0229754736587655
6,nn jj nnp nnp nn,POS,0.013068269938230515,deepseek-r1-0528,0.01577059371880952,2.285015240995803,0.010603614812994263,0.003199874241128194,0.01577059371880952
7,. -,CHAR,0.011878485791385174,chatgpt-4o-latest-20250326,0.020224905816886882,1.9965318110853456,0.020224905816886882,0.0018713644214536885,0.018388672216139882
8,tio,CHAR,0.011806041933596134,claude-3-5-haiku-20241022,0.04712082983416861,1.2822388339812965,0.03334504616440916,0.04712082983416861,0.04015269435499413
9,**,CHAR,0.011777281761169434,deepseek-r1-0528,0.1888624973833047,2.02436315946579,0.16204402295959403,0.024545517040512034,0.1888624973833047
10, *,CHAR,0.011159036308526993,deepseek-r1-0528,0.1273964630864598,2.521698263267997,0.08645196204242654,0.01458824758175109,0.1273964630864598
11,let me know if you,WORD,0.0089640524238348,chatgpt-4o-latest-20250326,0.04630631301670364,8.758926238836288,0.04630631301670364,0.0017036878912019954,0.008869823745980067
12,* *,CHAR,0.00808783620595932,deepseek-r1-0528,0.05344377885118667,13.5983862796377,0.0051529071994045935,0.0027074027158722476,0.05344377885118667
13,know if you,WORD,0.007378371432423592,chatgpt-4o-latest-20250326,0.04630631301670364,8.758926238836288,0.04630631301670364,0.0017036878912019954,0.008869823745980067
14,. **,CHAR,0.007200132589787245,deepseek-r1-0528,0.033758662122477134,2.899596771904441,0.018087221495663285,0.0051978501046253565,0.033758662122477134
15,pro,CHAR,0.006466974504292011,claude-3-5-haiku-20241022,0.025294160170111782,1.5056874684445984,0.015406367139738936,0.025294160170111782,0.018191785457697004
16,* ,CHAR,0.006089911330491304,deepseek-r1-0528,0.11399756670696098,3.3983678857161785,0.05525023092942706,0.011839364512985754,0.11399756670696098
17,let me know,WORD,0.00563391437754035,chatgpt-4o-latest-20250326,0.06724687837145421,7.789146231721558,0.06724687837145421,0.004006674400613679,0.01326013985136245
18,- **,CHAR,0.0055890800431370735,chatgpt-4o-latest-20250326,0.03232538026250602,2.3821970062337936,0.03232538026250602,0.003936164779348966,0.02320296585990475
19,# ,CHAR,0.005393284372985363,chatgpt-4o-latest-20250326,0.024679286489978906,3.1381325694588984,0.024679286489978906,0.005508939152676216,0.010219703793789066
20,pr,CHAR,0.004910103045403957,claude-3-5-haiku-20241022,0.03897472833566648,1.3509485012001068,0.02560742501181267,0.03897472833566648,0.03209237176074383
21,"
-",CHAR,0.004881150089204311,claude-3-5-haiku-20241022,0.07465079522835143,3.1147223515937656,0.04203596947254195,0.07465079522835143,0.005898185605795084
22,--,CHAR,0.004686469677835703,chatgpt-4o-latest-20250326,0.09227720848383324,5.038346381056444,0.09227720848383324,0.005069279266827106,0.03156067686022191
23,"
- ",CHAR,0.004354958422482014,claude-3-5-haiku-20241022,0.07469136637430669,3.1221047851772643,0.04201524080516256,0.07469136637430669,0.005831560241882475
24, di,CHAR,0.004288083408027887,claude-3-5-haiku-20241022,0.016693343656764996,1.3648651345881684,0.011122109171839317,0.016693343656764996,0.013339417273316563
