rank,feature,type,importance,owner,owner_value,ratio,chatgpt-4o-latest-20250326_mean,deepseek-r1-0528_mean,claude-3-5-haiku-20241022_mean
1,* **,CHAR,0.0420762,deepseek-r1-0528,0.03954261263435847,14.238551155337147,0.0034824526333697096,0.03954261263435847,0.0020718502171048494
2,** ,CHAR,0.019922683,deepseek-r1-0528,0.07493505583723215,2.6252071022478476,0.050302256112284,0.07493505583723215,0.006786615674683671
3,:** ,CHAR,0.018896759,deepseek-r1-0528,0.062430591897443495,7.276715461145404,0.012911685482860584,0.062430591897443495,0.004247317704991563
4,s*,CHAR,0.017113617,chatgpt-4o-latest-20250326,0.018047690263357993,2.3975403703429143,0.018047690263357993,0.012786433465342494,0.0022687376480237244
5,atio,CHAR,0.013306147,claude-3-5-haiku-20241022,0.02930081661856629,1.4390473037104052,0.017747046779607527,0.0229754736587655,0.02930081661856629
6,nn jj nnp nnp nn,POS,0.01306827,deepseek-r1-0528,0.01577059371880952,2.2850155720737257,0.010603614812994263,0.01577059371880952,0.003199874241128194
7,. -,CHAR,0.011878486,chatgpt-4o-latest-20250326,0.020224905816886882,1.9965320081759872,0.020224905816886882,0.018388672216139882,0.0018713644214536885
8,tio,CHAR,0.011806042,claude-3-5-haiku-20241022,0.04712082983416861,1.2822388688732216,0.03334504616440916,0.04015269435499413,0.04712082983416861
9,**,CHAR,0.011777282,deepseek-r1-0528,0.1888624973833047,2.0243631811643605,0.16204402295959403,0.1888624973833047,0.024545517040512034
10, *,CHAR,0.011159036,deepseek-r1-0528,0.1273964630864598,2.521698313182744,0.08645196204242654,0.1273964630864598,0.01458824758175109
11,let me know if you,WORD,0.008964052,chatgpt-4o-latest-20250326,0.04630631301670364,8.758927895603982,0.04630631301670364,0.008869823745980067,0.0017036878912019954
12,* *,CHAR,0.008087836,deepseek-r1-0528,0.05344377885118667,13.598389739650454,0.0051529071994045935,0.05344377885118667,0.0027074027158722476
13,know if you,WORD,0.0073783714,chatgpt-4o-latest-20250326,0.04630631301670364,8.758927895603982,0.04630631301670364,0.008869823745980067,0.0017036878912019954
14,. **,CHAR,0.0072001326,deepseek-r1-0528,0.033758662122477134,2.8995970209564366,0.018087221495663285,0.033758662122477134,0.0051978501046253565
15,pro,CHAR,0.0064669745,claude-3-5-haiku-20241022,0.025294160170111782,1.5056875580737805,0.015406367139738936,0.018191785457697004,0.025294160170111782
16,* ,CHAR,0.0060899113,deepseek-r1-0528,0.11399756670696098,3.3983679870245216,0.05525023092942706,0.11399756670696098,0.011839364512985754
17,let me know,WORD,0.0056339144,chatgpt-4o-latest-20250326,0.06724687837145421,7.789147133931556,0.06724687837145421,0.01326013985136245,0.004006674400613679
18,- **,CHAR,0.00558908,chatgpt-4o-latest-20250326,0.03232538026250602,2.3821971817882015,0.03232538026250602,0.02320296585990475,0.003936164779348966
19,# ,CHAR,0.0053932844,chatgpt-4o-latest-20250326,0.024679286489978906,3.138132968493015,0.024679286489978906,0.010219703793789066,0.005508939152676216
20,pr,CHAR,0.004910103,claude-3-5-haiku-20241022,0.03897472833566648,1.3509485480269094,0.02560742501181267,0.03209237176074383,0.03897472833566648
21,"
-",CHAR,0.00488115,claude-3-5-haiku-20241022,0.07465079522835143,3.1147224815521364,0.04203596947254195,0.005898185605795084,0.07465079522835143
22,--,CHAR,0.0046864697,chatgpt-4o-latest-20250326,0.09227720848383324,5.038346656150761,0.09227720848383324,0.03156067686022191,0.005069279266827106
23,"
- ",CHAR,0.0043549584,claude-3-5-haiku-20241022,0.07469136637430669,3.1221049156814864,0.04201524080516256,0.005831560241882475,0.07469136637430669
24, di,CHAR,0.0042880834,claude-3-5-haiku-20241022,0.016693343656764996,1.36486524618097,0.011122109171839317,0.013339417273316563,0.016693343656764996
25,elaborate on any,WORD,0.0041686944,claude-3-5-haiku-20241022,0.01993481744752871,27.85489113830687,0.0010577764452845402,0.00037355691362518173,0.01993481744752871
26,like me to elaborate,WORD,0.004078053,claude-3-5-haiku-20241022,0.022899845654370553,33.09186024121249,0.0010228088286422929,0.00036120799528053794,0.022899845654370553
27,nn jj nnp,POS,0.003975614,deepseek-r1-0528,0.05151861563557529,1.8068084733258059,0.04513817262573899,0.05151861563557529,0.011889029090605177
28,- ,CHAR,0.003927789,claude-3-5-haiku-20241022,0.06914332939424807,1.3627726097989197,0.06862329975446002,0.03285119261070473,0.06914332939424807
29,jj nnp nnp nnp,POS,0.0038751685,deepseek-r1-0528,0.07301093093663912,2.293238933572434,0.046220367343265734,0.07301093093663912,0.017454577179764695
30,nnp nnp nnp nn nn,POS,0.0038058127,deepseek-r1-0528,0.021665001809107146,2.3744974542629507,0.013209533056809449,0.021665001809107146,0.0050385402525232915
31,. *,CHAR,0.0037890098,deepseek-r1-0528,0.046967622127877674,3.8661163258154176,0.01835150403346391,0.046967622127877674,0.005945551807436869
32,cd vb jj,POS,0.0037726944,deepseek-r1-0528,0.06699535643196734,2.534131791618735,0.03775892761285874,0.06699535643196734,0.015115478251543852
33, (,CHAR,0.0037002277,deepseek-r1-0528,0.04534373100441263,2.317075903357819,0.02569498493245361,0.04534373100441263,0.01344376830277895
34,me to elaborate,WORD,0.0035713026,claude-3-5-haiku-20241022,0.022899845654370553,33.09186024121249,0.0010228088286422929,0.00036120799528053794,0.022899845654370553
35,jj nns cd,POS,0.0034769285,claude-3-5-haiku-20241022,0.02482417200577027,2.769313617094307,0.0065519988240039665,0.011376033488794863,0.02482417200577027
36,in dt nn cc,POS,0.0033057006,chatgpt-4o-latest-20250326,0.013671422576955847,1.2300111029779646,0.013671422576955847,0.01196571947279027,0.010264035273091516
37,""" ",CHAR,0.003096828,deepseek-r1-0528,0.02037263342315523,1.9507923105028153,0.008234372056485507,0.02037263342315523,0.012652150115527974
38,jj nn nns,POS,0.0029683004,claude-3-5-haiku-20241022,0.05369025718423848,2.064381752545953,0.022085708517992738,0.029930113766837626,0.05369025718423848
39,f ,CHAR,0.002957545,chatgpt-4o-latest-20250326,0.03244624549848473,1.2129795892863888,0.03244624549848473,0.026521852729222015,0.026976566840349252
40,nn jj nn in,POS,0.0028996188,deepseek-r1-0528,0.011254964041677308,1.6459449694782824,0.006077772076966313,0.011254964041677308,0.007598218615778185
41,##,CHAR,0.0028563414,chatgpt-4o-latest-20250326,0.04893647702746968,3.236384925386468,0.04893647702746968,0.021409167493786848,0.008832276682774445
42,: ,CHAR,0.0028345326,chatgpt-4o-latest-20250326,0.02341182316125771,1.1232394537061905,0.02341182316125771,0.02285379530537621,0.018832459720672084
43,na,CHAR,0.0028302448,claude-3-5-haiku-20241022,0.030336328435497547,1.1487804840232527,0.024291903009252366,0.028522936479061053,0.030336328435497547
44,ica,CHAR,0.0027802156,claude-3-5-haiku-20241022,0.02370358521302047,1.5847646579417032,0.01292960515792859,0.01698472324942844,0.02370358521302047
45,".
",CHAR,0.0027190263,chatgpt-4o-latest-20250326,0.02041435596036377,1.9110244310271203,0.02041435596036377,0.018091082291233934,0.003273747617708303
46,the ,CHAR,0.0027164156,deepseek-r1-0528,0.05201979387587959,1.1087120550600553,0.0490303372509427,0.05201979387587959,0.04480790260306854
47, 1,CHAR,0.0026749088,claude-3-5-haiku-20241022,0.012135624295578816,1.221085927710797,0.008683337181870854,0.011193436467187243,0.012135624295578816
48,like me to elaborate on,WORD,0.0025857706,claude-3-5-haiku-20241022,0.022899845654370553,33.09186024121249,0.0010228088286422929,0.00036120799528053794,0.022899845654370553
49,", ",CHAR,0.0025854385,deepseek-r1-0528,0.08655372657104886,1.2243057293282518,0.08066334657938301,0.08655372657104886,0.0607289943982891
50,cc jj nnp nnp,POS,0.0025653886,deepseek-r1-0528,0.016917203522925757,4.415910985308365,0.005535474446045295,0.016917203522925757,0.002126456955746501
51,me know if you need,WORD,0.0025609438,deepseek-r1-0528,0.005413436475191352,2.670362702727426,0.004054457823023243,0.005413436475191352,0.0
52,nnp nn jj,POS,0.0025087658,deepseek-r1-0528,0.03206790967211346,1.9081456206407637,0.023065931570397272,0.03206790967211346,0.010545664237835555
53,nn nnp nnp,POS,0.002461907,deepseek-r1-0528,0.08605069208440243,1.6907661965116219,0.07888984032999201,0.08605069208440243,0.022899150083870858
54, ##,CHAR,0.0024061701,chatgpt-4o-latest-20250326,0.024806468303778757,3.3304388246451873,0.024806468303778757,0.009959202224068946,0.004937614447783027
55,apologize but cannot,WORD,0.0023746837,claude-3-5-haiku-20241022,0.030986964690954494,0.0,0.0,0.0,0.030986964690954494
56," """,CHAR,0.0023653335,deepseek-r1-0528,0.025078797795846392,1.9479564349135745,0.00949032821878376,0.025078797795846392,0.016258499985332697
57, * ,CHAR,0.0023400458,deepseek-r1-0528,0.039020031996816425,17.401825723328386,0.0010316146179505763,0.039020031996816425,0.003452975978139269
58,would you like,WORD,0.0022551203,chatgpt-4o-latest-20250326,0.05972075727152032,2.4396009002447534,0.05972075727152032,0.010542320359999462,0.03841712810186069
59,would you like me,WORD,0.0022353688,claude-3-5-haiku-20241022,0.03462337345544015,6.375454305554901,0.009891806395553461,0.0009696543870210393,0.03462337345544015
60,nn nn jj,POS,0.0022030554,deepseek-r1-0528,0.03358774640876861,1.4776438151182996,0.02691752254875624,0.03358774640876861,0.01854369897854341
61,jj nnp nnp nnp nn,POS,0.0021893336,deepseek-r1-0528,0.026521687530890303,3.1044821093069173,0.010722369536172631,0.026521687530890303,0.006363692871068189
62,---,CHAR,0.002143463,chatgpt-4o-latest-20250326,0.06620894936130964,4.383244623707011,0.06620894936130964,0.026313411320362703,0.0038966066207830074
63,ve ,CHAR,0.0021367848,claude-3-5-haiku-20241022,0.02008897934448901,1.4466953951274832,0.013375896704717801,0.014396334287582777,0.02008897934448901
64,omp,CHAR,0.0021083911,claude-3-5-haiku-20241022,0.013647376406477786,1.4342396747954598,0.00887996009663037,0.010150856922741333,0.013647376406477786
65,:**,CHAR,0.0020979098,deepseek-r1-0528,0.062199076151437875,6.402468207962912,0.014686025001137406,0.062199076151437875,0.004743693079798728
66,jj nnp nnp cc,POS,0.0020843134,deepseek-r1-0528,0.014625512159072037,3.5076690720862915,0.006798547469130544,0.014625512159072037,0.0015406155810331792
67,jj nn dt,POS,0.0020774093,claude-3-5-haiku-20241022,0.021933749505603048,1.3600153255399303,0.014773025515189024,0.01748212498746473,0.021933749505603048
68, it,CHAR,0.0020636867,chatgpt-4o-latest-20250326,0.018335229329150556,1.2941918675038566,0.018335229329150556,0.01768246012605867,0.010652178329851604
69,w ,CHAR,0.0020278497,chatgpt-4o-latest-20250326,0.016191040523494137,1.5362551577916008,0.016191040523494137,0.011673240025728955,0.009405342449813841
70, -,CHAR,0.0020272927,chatgpt-4o-latest-20250326,0.04240765564030322,1.805740154891605,0.04240765564030322,0.03334773979424655,0.01362209196745437
71,nns in jj,POS,0.0020098428,claude-3-5-haiku-20241022,0.03496943463398965,1.8733494331207803,0.01667687634765005,0.020656718779591833,0.03496943463398965
72,such as the,WORD,0.0020097091,chatgpt-4o-latest-20250326,0.008123423185072278,5.702307194204022,0.008123423185072278,0.002158263066584388,0.0006909075965917888
73,me to elaborate on,WORD,0.0019841276,claude-3-5-haiku-20241022,0.022899845654370553,33.09186024121249,0.0010228088286422929,0.00036120799528053794,0.022899845654370553
74,c ,CHAR,0.001983419,claude-3-5-haiku-20241022,0.0182472855419037,1.3350385819665385,0.012351724951169929,0.014984242395968586,0.0182472855419037
75,di,CHAR,0.0019512599,claude-3-5-haiku-20241022,0.03397245902866142,1.1722771773932386,0.02656342556666605,0.031396346548329936,0.03397245902866142
76,nn wdt vbz,POS,0.0019227021,claude-3-5-haiku-20241022,0.02097348208597583,1.7854500442972336,0.014271380319926806,0.00922239611248091,0.02097348208597583
77,in nnp nnp nnp,POS,0.001906582,chatgpt-4o-latest-20250326,0.02271410783924367,1.6256512977481947,0.02271410783924367,0.017281414270399295,0.0106632105955933
