feature,importance
char_* **,0.0420762
char_** ,0.019922683
char_:** ,0.018896759
char_s*,0.017113617
char_atio,0.013306147
pos_nn jj nnp nnp nn,0.01306827
char_. -,0.011878486
char_tio,0.011806042
char_**,0.011777282
char_ *,0.011159036
word_let me know if you,0.008964052
char_* *,0.008087836
word_know if you,0.0073783714
char_. **,0.0072001326
char_pro,0.0064669745
char_* ,0.0060899113
word_let me know,0.0056339144
char_- **,0.00558908
char_# ,0.0053932844
char_pr,0.004910103
"char_
-",0.00488115
char_--,0.0046864697
"char_
- ",0.0043549584
char_ di,0.0042880834
word_elaborate on any,0.0041686944
word_like me to elaborate,0.004078053
pos_nn jj nnp,0.003975614
char_- ,0.003927789
pos_jj nnp nnp nnp,0.0038751685
pos_nnp nnp nnp nn nn,0.0038058127
char_. *,0.0037890098
pos_cd vb jj,0.0037726944
char_ (,0.0037002277
word_me to elaborate,0.0035713026
pos_jj nns cd,0.0034769285
pos_in dt nn cc,0.0033057006
"char_"" ",0.003096828
pos_jj nn nns,0.0029683004
char_f ,0.002957545
pos_nn jj nn in,0.0028996188
char_##,0.0028563414
char_: ,0.0028345326
char_na,0.0028302448
char_ica,0.0027802156
"char_.
",0.0027190263
char_the ,0.0027164156
char_ 1,0.0026749088
word_like me to elaborate on,0.0025857706
"char_, ",0.0025854385
pos_cc jj nnp nnp,0.0025653886
word_me know if you need,0.0025609438
pos_nnp nn jj,0.0025087658
pos_nn nnp nnp,0.002461907
char_ ##,0.0024061701
word_apologize but cannot,0.0023746837
"char_ """,0.0023653335
char_ * ,0.0023400458
word_would you like,0.0022551203
word_would you like me,0.0022353688
pos_nn nn jj,0.0022030554
pos_jj nnp nnp nnp nn,0.0021893336
char_---,0.002143463
char_ve ,0.0021367848
char_omp,0.0021083911
char_:**,0.0020979098
pos_jj nnp nnp cc,0.0020843134
pos_jj nn dt,0.0020774093
char_ it,0.0020636867
char_w ,0.0020278497
char_ -,0.0020272927
pos_nns in jj,0.0020098428
word_such as the,0.0020097091
word_me to elaborate on,0.0019841276
char_c ,0.001983419
char_di,0.0019512599
pos_nn wdt vbz,0.0019227021
pos_in nnp nnp nnp,0.001906582
pos_nnp nnp nn nnp,0.0018743249
char_of,0.0018721304
pos_jj nns vbg,0.0018695542
char_rat,0.0018329086
word_in the early,0.0018175774
pos_vb prp vb,0.0018139613
char_tha,0.0018052857
char_. ,0.0017934948
pos_nns vb jj,0.0017791893
pos_nn vbz dt,0.0017484014
char_anc,0.0017228001
pos_nnp nnp nn jj,0.0017125731
char_all,0.001708668
pos_nnp nns in,0.0017013684
word_you re asking,0.0016967251
pos_nns dt nn,0.0016940859
char_gh,0.0016919182
char_ n,0.0016824168
pos_jj nns vb,0.001682369
char_ on,0.0016795815
word_let break down,0.0016646441
pos_vb jj nnp nnp nnp,0.0016529834
char_e.,0.0016509288
pos_nns in nns,0.0016489833
char_ng ,0.0016487153
pos_nn prp vbp,0.0016450569
char_ni,0.0016279725
pos_nn nnp nn nn,0.001618059
char_ th,0.0016136976
pos_nn in vbg,0.0016118471
char_be,0.0016035081
pos_nn cd vb jj nnp,0.0015988956
char_ow,0.0015907646
char_ of ,0.0015889193
pos_nn nnp cd,0.0015814847
pos_jj cc jj,0.0015791807
pos_vb jj nns,0.0015766454
char_per,0.0015750318
char_ee,0.0015574858
pos_nn vbz nnp,0.0015555369
char_m ,0.0015529422
pos_vb in dt,0.0015524925
pos_in nn in,0.0015449451
char_ st,0.0015324365
char_nt,0.0015304587
char_ical,0.0015303722
char_you,0.0015274301
pos_nns in nn,0.0015273332
pos_cc dt jj,0.0015242363
char_com,0.0015143101
char_sti,0.0015110577
pos_nns vbn in,0.0015093342
pos_dt nn cc,0.0015092443
char_ct,0.0015069393
char_and,0.001488411
pos_nn jj nns,0.0014811796
pos_cc nnp nnp,0.0014625352
char_ fo,0.0014622889
char_ex,0.0014590845
char_te,0.0014580579
pos_nnp vbz jj,0.0014560836
word_parts of the,0.0014560185
pos_nn vbz jj,0.0014560178
char_on,0.0014553748
char_ge,0.001454091
pos_nn nns nn,0.001447533
char_ess,0.0014429936
char_to ,0.0014374367
"char_s, ",0.0014360099
char_ti,0.0014353729
char_ an,0.0014349694
pos_jj nn cd,0.0014302972
char_est,0.0014257064
pos_jj nn nn jj,0.0014243604
char_ or,0.0014242748
char_s:,0.0014086944
char_ati,0.0014058836
pos_nns nn jj nnp,0.0013992804
char_fa,0.0013979684
char_is,0.0013951713
char_fe,0.0013848378
char_ wit,0.0013811213
pos_dt nn in dt,0.0013749487
pos_nn in dt,0.0013736469
pos_jj jj jj nn,0.0013719166
pos_in nn nnp,0.0013707877
pos_jj jj nnp,0.0013632327
pos_to vb nnp,0.0013576737
pos_jj jj nnp nnp,0.0013484749
char_ers,0.0013349045
pos_in dt nn nn,0.0013299957
char_and ,0.0013212006
"char_e, ",0.0013183814
pos_nn cd nn,0.001318122
char_ in,0.0013130216
pos_nnp in dt,0.0013120506
char_ff,0.0013062553
char_ive,0.0013052964
pos_nn prp md,0.0013038341
pos_nnp nn jj nnp nnp,0.0012996522
char_fi,0.0012980216
char_ c,0.0012952596
pos_in prp nn,0.0012902297
char_ **,0.0012888189
char_le ,0.0012872112
pos_nnp in nnp nnp,0.001285891
char_ne,0.0012827895
char_ab,0.0012789625
char_ate,0.0012778661
char_ to ,0.0012777816
char_ly ,0.001275745
pos_nn vbz rb,0.001271821
pos_dt nnp nnp,0.0012703324
pos_nn nn dt,0.0012681715
pos_jj nn nnp nnp,0.0012618452
char_enc,0.001257308
pos_nn in dt jj,0.0012529701
pos_nnp nnp cc,0.0012493724
char_an,0.0012460239
pos_nnp cc nnp nnp,0.0012423744
pos_cc jj nns,0.001241025
pos_nn to vb,0.0012409912
char_nd,0.0012388307
char_he ,0.0012331577
pos_jj nns in,0.0012318743
pos_nnp nnp nnp nnp cd,0.0012313222
char_e a,0.0012305762
char_ bu,0.0012276757
pos_to vb nn,0.001220403
pos_vbg dt nn,0.0012179528
pos_in jj nn nns,0.0012052682
pos_nns vbp nn,0.0012042411
pos_jj nnp nnp,0.0012020383
pos_vbg in dt,0.001195117
pos_jj nn in jj,0.0011909009
pos_dt nn dt,0.001190531
char_n a,0.0011833378
char_ou,0.0011771717
char_cti,0.0011771042
char_ o,0.0011762737
char_an ,0.0011735366
char_ona,0.0011724742
char_d a,0.0011692947
pos_nnp nnp nn in,0.0011669942
char_nt ,0.0011646403
char_e o,0.0011587217
char_e m,0.0011543653
pos_jj nn nn nnp nnp,0.0011540919
word_help you with,0.0011530836
char_si,0.0011502929
pos_jj nn to,0.0011493211
char_ - ,0.0011483917
pos_vbn to vb,0.0011473839
pos_nn md vb,0.0011390836
char_ li,0.0011379474
pos_nn nnp in,0.0011368304
char_wit,0.0011366109
char_e i,0.0011353069
char_ mo,0.001129995
char_me ,0.0011290133
char_ be,0.0011265829
char_rn,0.0011243979
char_ so,0.0011221326
pos_nnp nn nn nnp,0.0011180888
pos_nnp nnp cd nnp nnp,0.0011164477
char_ is,0.0011142794
char_if,0.0011141624
char_et,0.0011134099
pos_nnp nnp in nnp nnp,0.0011108327
pos_nn in jj,0.001109225
char_es ,0.0011092045
char_ pe,0.0011013243
char_y ,0.001098511
char_----,0.0010972023
char_ag,0.0010963953
char_ith,0.001094579
pos_nn vbz dt nn,0.0010915204
char_## ,0.0010884273
char_for ,0.0010878827
char_lly,0.0010848525
char_ant,0.0010831461
pos_nns in dt,0.001081145
char_ng,0.0010801769
char_ra,0.0010774243
char_i ,0.0010765509
char_u ,0.0010709208
char_cr,0.0010701931
char_ f,0.0010642394
char_oc,0.0010638927
char_en ,0.0010637583
pos_to vb jj,0.0010637033
char_nti,0.0010600834
char_sta,0.0010599428
pos_nnp nnp nnp nn,0.0010598631
pos_nn nnp nn,0.0010576345
char_tin,0.0010564581
char_ist,0.0010475551
char_ a,0.0010468117
pos_jj nn nn,0.0010447856
pos_nn nnp vbz,0.0010424292
pos_jj nn vbg,0.0010381044
char_ #,0.0010347138
char_s t,0.001029989
char_ste,0.0010291238
char_s.,0.001027474
pos_dt jj nn,0.0010269012
pos_nnp nnp nnp vbz,0.0010252697
pos_nn vbg dt,0.0010248414
pos_jj nns vbp,0.0010234113
pos_nn cc nn,0.0010113574
char_fo,0.0010105096
char_rs,0.0010020754
pos_jj nn cc jj,0.0010020497
char_ for,0.0009983818
char_ i,0.0009961739
pos_prp vbp rb,0.000995475
pos_nn nn nnp,0.000995333
char_do,0.0009935666
pos_nn nn rb,0.0009903623
char_as ,0.0009891129
char_ ch,0.0009889104
pos_nn nn cd,0.0009868001
char_h ,0.00098632
char_bo,0.000984421
char_pl,0.0009842409
char_le,0.0009799681
char_st ,0.0009794142
"char_s,",0.0009787615
char_ru,0.0009782952
char_ts ,0.00097514957
pos_nn cc jj nns,0.0009737655
char_wo,0.0009734725
char_ or ,0.00096931215
char_as,0.00096858863
char_ g,0.00096697785
char_ se,0.0009640854
char_hat,0.00095755694
char_can,0.0009474081
char_- *,0.0009473529
pos_dt nn nn,0.0009446701
char_la,0.0009431934
pos_jj nn cc nn,0.0009417182
char_al,0.0009381192
char_ p,0.00093731476
char_ight,0.000931508
pos_to dt nn,0.000930774
char_s o,0.0009298632
pos_prp nn in,0.00092878996
char_ul,0.00092830067
char_ht,0.00092533126
char_at,0.0009253095
char_ h,0.00092395785
char_il,0.00092155184
char_ int,0.0009195729
char_is ,0.00091706327
char_e ,0.00091507286
char_st,0.0009131699
char_lt,0.00091253687
pos_vbp dt nn,0.0009109649
pos_cc nn in,0.00091088115
pos_nnp nnp rb,0.0009101682
char_tu,0.00090567186
char_ v,0.000901896
char_t ,0.00090162596
char_ity,0.0009016212
char_ co,0.00090044405
char_tiv,0.00089985866
char_ e,0.00089884514
char_ay,0.0008983744
pos_nns vbp rb,0.00089693547
char_od,0.00089587073
pos_nn in nnp nnp,0.0008949783
char_ re,0.0008938007
char_ut,0.0008930261
char_fr,0.0008927338
"char_, an",0.00089057314
char_ m,0.0008896198
char_tt,0.0008883287
pos_nn nn in,0.00088651397
pos_cd nn nnp,0.00088367175
pos_nns jj nn,0.0008812636
char_ep,0.0008790698
pos_in jj nn,0.0008782643
pos_nnp nnp nn,0.0008776374
char_po,0.00087458605
char_op,0.0008739456
pos_dt nn rb,0.00087296613
pos_nns jj nns,0.00087242795
char_wh,0.0008712922
char_ com,0.00087111746
pos_in prp vbp,0.00087105756
pos_dt nn in,0.00087043527
char_es,0.00086961215
char_lin,0.0008690641
pos_nn nn nn nnp,0.00086876715
pos_vbz dt nn in,0.00086551614
char_s. ,0.0008624863
char_igh,0.00086202926
pos_nns in jj nn,0.0008594065
char_fic,0.0008589401
char_ar,0.0008586013
char_ con,0.0008556863
char_o ,0.00085529406
pos_jj nn nnp nn,0.0008550655
char_ver,0.0008550322
pos_jj nn nn in,0.00085473154
char_e p,0.00085456914
char_our,0.0008529357
char_av,0.0008524556
pos_vbg jj nns,0.0008487495
pos_vb prp nn,0.00084716367
char_ wi,0.0008459552
char_ and,0.00084533973
char_ba,0.00084410293
pos_nn jj nn,0.00083782297
char_am,0.0008368055
char_ce,0.0008349841
pos_nnp nnp nnp nnp,0.00083497574
char_de,0.00083371805
char_ta,0.000833362
char_tion,0.00082917116
pos_prp vbp jj,0.0008280751
char_ a ,0.00082654535
char_ic,0.00082653656
char_ ha,0.00082439836
pos_nnp nn nnp nnp,0.00082039717
char_for,0.00082027266
char_ls,0.00081587624
char_nal,0.0008138764
pos_nnp nnp prp,0.0008122456
word_here are some,0.0008115042
char_ly,0.00081004703
pos_md vb dt,0.00080950116
pos_in dt nn,0.0008082942
char_ie,0.00080637995
char_ sp,0.0008062959
pos_nnp dt nn,0.00080587465
pos_nn jj jj nn,0.0008050257
pos_jj nns nnp,0.0008046932
char_du,0.00080371974
pos_nnp nnp in nnp,0.00080329215
char_en,0.0008010025
char_ll,0.0008002613
pos_prp vbp vbg,0.0007984807
char_ d,0.00079836574
pos_in prp jj,0.00079786096
pos_nns cc jj nns,0.0007975085
char_ear,0.0007865822
word_be happy to,0.0007857393
char_pi,0.00078418426
char_wi,0.000783757
pos_nn nn vbz,0.0007831758
pos_nnp nnp nnp cc,0.0007800179
pos_jj nn cd vb,0.0007788211
char_mo,0.000775749
char_ck,0.00077244354
char_el,0.00076996046
pos_rb vbn in,0.00076918496
char_or ,0.0007655974
char_e c,0.0007598078
pos_in nn nn,0.000757613
pos_vbz jj jj,0.0007570389
char_er,0.00075695134
pos_dt nn nnp,0.0007560564
char_ment,0.00075069454
pos_nn in nn,0.0007495145
"char_, a",0.0007480465
char_act,0.0007464777
pos_jj jj nn jj,0.00074535894
char_to,0.0007425622
char_rt,0.0007412013
pos_prp jj nn,0.00074042345
pos_jj jj nn,0.0007383759
char_the,0.00073781743
pos_vbz dt jj nn,0.0007376259
pos_nn jj jj,0.00073750434
char_use,0.00073555025
char_ine,0.00073452824
char_t t,0.0007324211
char_rd,0.00073088094
char_ke,0.00072865124
char_ s,0.00072821503
pos_nn dt jj nn,0.0007254186
char_th ,0.00072490145
char_rea,0.0007240804
char_ed,0.00072339206
char_ ex,0.0007204881
char_her,0.000719909
char_um,0.0007196008
char_nc,0.0007187937
char_te ,0.0007181129
word_if you need,0.00071755546
char_it,0.00071748043
char_of ,0.0007122048
pos_nn nns cc,0.0007115593
char_su,0.00070972345
char_ing,0.0007093647
char_he,0.0007077999
char_ tha,0.0007070981
pos_jj nns rb,0.00070665474
pos_nnp nnp nn nnp nnp,0.0007066165
pos_prp nn nn,0.00070599624
pos_jj jj nn nnp nnp,0.0007047881
char_ry,0.000704776
pos_vbz dt jj nn in,0.0006997948
char_qu,0.0006997737
pos_nnp jj nn nnp,0.00069734134
pos_jj nnp jj,0.0006959418
char_d ,0.0006949326
pos_nnp nnp nnp nnp jj,0.0006946445
pos_cc jj nn,0.0006934168
pos_dt jj nn in,0.00069068995
pos_in dt jj nn,0.00069028814
char_it ,0.00068955484
char_ t,0.00068689825
char_nd ,0.0006863292
pos_cd vb jj nnp,0.00068462075
char_ po,0.0006843261
pos_nn nnp jj,0.0006839798
char_ec,0.0006830942
char_ing ,0.00068180927
char_tra,0.0006813806
char_ld,0.00068100845
char_mi,0.00068011513
pos_cd nnp nnp nnp,0.0006792205
pos_nnp nnp nnp nnp nnp,0.00067906594
char_e s,0.0006760303
pos_nns jj jj,0.0006757272
char_pp,0.00067469815
char_vi,0.00067389285
char_ho,0.00067229476
char_ he,0.0006697611
char_ b,0.0006696503
pos_nn cd vb jj,0.0006694114
pos_nnp nn nn nn,0.0006691894
pos_nn nn jj nn,0.0006689581
char_d t,0.0006666692
char_ot,0.000665786
char_th,0.00066465355
char_va,0.0006633888
pos_nnp cd nn,0.0006621872
char_ri,0.0006614439
char_uc,0.0006605852
pos_vb jj nnp nnp,0.00066020945
pos_nns nn nnp,0.0006595102
char_l ,0.0006558446
pos_dt jj nn nn,0.0006557042
char_tr,0.00065324845
char_ pro,0.00065265025
char_thi,0.0006518402
char_or,0.0006465755
char_ap,0.0006456401
pos_nn nns nnp,0.00064377143
char_n ,0.0006427021
char_se,0.00064224546
char_nte,0.0006401512
char_ le,0.0006392902
char_tic,0.0006381572
word_be happy to help,0.0006374032
pos_jj in jj,0.00063637126
word_if you re,0.000635674
"char_e,",0.00063393463
pos_vb nnp nnp,0.0006332536
pos_nnp nn nnp,0.0006329999
char_) ,0.0006307477
char_li,0.0006290006
char_ l,0.00062878896
pos_to vb dt nn,0.00062800717
pos_nnp nnp nnp nnp nn,0.00062665617
pos_nn in nnp,0.00062661903
char_nce,0.0006262316
char_ pa,0.0006242125
pos_in nn cc,0.000623318
char_ns,0.00062164606
char_sh,0.0006216349
char_ci,0.0006205142
char_ ma,0.00061946287
char_we,0.00061794627
char_ yo,0.00061546784
char_ting,0.00061418064
pos_nn nn vbg,0.0006102374
char_ tr,0.000607284
char_ua,0.00060465606
char_cu,0.0006037431
pos_nns in vbg,0.0006036477
char_are,0.00060341303
pos_jj nn in dt,0.00060177164
pos_nnp nnp nnp cd,0.00060058373
pos_jj nn in nn,0.0005975635
char_ga,0.0005955827
pos_nns in prp,0.0005952854
char_ial,0.00059519784
char_ pr,0.0005939129
char_ces,0.00058947795
char_id,0.000586183
char_ de,0.0005858302
char_im,0.00058178446
char_in ,0.000581663
pos_cd jj jj,0.0005797444
char_pa,0.0005775499
pos_to vb prp,0.00057677686
pos_nnp nnp nn nns,0.00057610986
char_cl,0.00057592936
char_ma,0.0005758896
pos_nn in nn nn,0.00057409034
pos_nn nns in,0.0005735862
char_da,0.0005734632
pos_cd nnp nnp,0.0005731503
pos_rb jj jj,0.0005704639
pos_nnp nnp cc nnp,0.00056986744
pos_nn nn cc jj,0.000569453
pos_nnp nns nn,0.00056907954
char_ten,0.00056907727
char_ea,0.0005666956
char_age,0.0005665314
pos_vb jj nn,0.00056420395
pos_nnp nnp nn nn,0.0005594346
pos_nn nn in dt,0.0005590967
pos_to vb dt,0.0005581114
pos_nnp nnp nnp,0.00055802835
char_ ca,0.0005571591
char_ght,0.00055608124
char_g ,0.00055377436
char_rc,0.0005519879
char_iti,0.0005498344
pos_jj nn in,0.0005488956
pos_jj nns in dt,0.0005467755
char_###,0.0005459448
char_co,0.000545746
char_me,0.0005452897
pos_nnp nnp nnp nn vbz,0.00054478616
pos_nn in jj nn,0.00054378744
char_r ,0.00054375886
pos_nns nn nns,0.00054360455
char_con,0.00054326816
char_ca,0.00054248376
pos_nn nnp nnp in,0.00054066756
char_gi,0.00054013374
char_ed ,0.00053949753
pos_nnp vbd cd,0.0005392328
char_e t,0.0005366561
char_ds,0.00053587434
char_ect,0.0005357277
pos_dt nn prp,0.00053398154
char_so,0.00053233886
pos_rb in dt,0.0005297351
char_os,0.00052951963
char_un,0.0005282325
char_bi,0.00052712904
char_sp,0.0005252044
pos_vb dt jj,0.00052519713
char_on ,0.0005249745
char_re,0.00052487553
pos_nnp nn nn,0.0005237221
char_pe,0.0005232269
char_ac,0.0005227256
char_in,0.0005203591
char_ro,0.0005141837
char_se ,0.00051394163
char_mp,0.00051333784
char_ no,0.00051063416
char_tive,0.00050983566
char_ide,0.0005094606
pos_in nns cc,0.00050937163
char_str,0.00050870085
char_no,0.00050761463
pos_nn nn nnp nnp nnp,0.0005073635
char_om,0.00050563866
char_ss,0.00050529186
pos_prp md vb,0.00050255173
char_lo,0.00050023245
pos_nns nn nnp nnp,0.0005001903
pos_vbn in dt,0.0004985739
pos_nnp nnp nnp in,0.00049828837
char_ch,0.00049735
pos_jj nn nnp,0.00049734645
char_ef,0.00049618975
char_t a,0.0004923693
pos_in dt nns,0.0004900067
char_ to,0.0004878638
char_ur,0.000487016
pos_in dt nnp,0.00048598147
char_ions,0.00048548498
char_ wh,0.00048451184
char_bl,0.00048444542
char_tur,0.00048351026
char_ of,0.00048183344
char_re ,0.00048007775
char_er ,0.00047726833
char_em,0.00047720934
pos_in nnp cc,0.00047674077
pos_nnp nnp vbd,0.00047543604
pos_jj nnp nn nnp,0.0004733382
pos_jj nnp nnp nnp nnp,0.0004729237
pos_jj nn cd vb jj,0.00047142815
char_ts,0.00047104617
char_:*,0.0004694992
char_int,0.00046844178
pos_dt jj nns,0.000466364
pos_nn vbz vbn,0.00046547398
pos_nnp nn cc,0.00046509053
char_al ,0.0004646876
pos_in nnp nnp,0.00046294337
pos_nnp jj nn,0.0004619667
char_at ,0.00045887154
pos_nns vbp jj,0.00045858294
char_ you,0.00045488882
pos_nnp jj nnp nnp nnp,0.0004517892
pos_vbn in nn,0.00045088326
pos_in dt jj nn in,0.00045028972
pos_nn nn nnp nn,0.0004502861
pos_nnp in nnp,0.0004450315
char_ov,0.0004444272
pos_in dt nn in,0.00043795496
pos_cc nnp nnp nnp nnp,0.00043606476
char_a ,0.00043155914
char_ u,0.000430846
pos_rb vbz dt,0.00042856776
pos_jj to vb,0.00042520935
char_ me,0.0004194051
char_ha,0.00041928334
pos_in jj nn cc,0.0004188443
pos_nnp cc nnp,0.0004169999
char_bu,0.00041611888
pos_jj nns nn,0.0004159283
pos_nn nnp nnp nnp,0.0004139136
pos_dt nns vbp,0.00041314933
pos_vbz dt jj,0.00041096515
pos_jj nns cc,0.00040943458
char_ure,0.00040719402
char_ain,0.0004058764
char_eg,0.00040452328
char_ the,0.0004029308
pos_nn cc jj nn,0.00039704112
