feature,importance
word_like me to,0.012160866
word_like me to elaborate,0.010595062
word_language models llms,0.009355563
word_you like this,0.008776291
"char_
- ",0.007003601
word_me to help you,0.00630777
char_| ,0.006278662
char_ you,0.0057385904
char_* **,0.0055970554
word_let me know your,0.005282453
word_ll do my,0.005230158
char_## ,0.0047358535
char_rt,0.0047216048
word_would you like me to,0.004702292
word_ll do my best,0.004365949
char_ wit,0.004338507
pos_nnp in jj,0.0043347743
pos_in dt nnp,0.0039163115
char_tin,0.0038113948
char_) ,0.0038066707
pos_nns in dt nn,0.0037756015
pos_in dt jj,0.0036775367
char_ wi,0.0036655732
pos_cc nnp nnp nnp,0.0034795841
char_ y,0.0032893724
pos_nn cc jj nnp,0.0032340996
char_##,0.0032167584
pos_nn nn jj nnp,0.0031920823
char_nti,0.0030657714
pos_jj to vb,0.0030592475
pos_vbz nnp nnp,0.0030589455
pos_vbn to vb,0.0030532607
char_di,0.0030403465
pos_nnp nnp jj,0.002930652
char_al,0.0028841756
pos_to dt nn,0.0028697609
char_###,0.0026881048
pos_nn in dt nn,0.0026731095
pos_nn vbz in,0.0026499256
pos_nn vbz dt nn,0.0026477831
pos_nnp nnp in nnp,0.0026041202
"char_
-",0.00259658
char_ he,0.0025886435
pos_nns nnp nnp,0.0025812087
word_apologize but cannot actually,0.0025715043
word_for long term,0.002563309
char_nt,0.002550862
pos_nnp nn nns,0.0023850065
pos_jj nnp nn nnp,0.002373051
word_likely to be,0.0023682695
char_* ,0.002339461
char_ or,0.0022661232
pos_cc dt nn,0.002251784
word_me know the,0.002190312
pos_nnp nn in,0.0021807323
pos_nn nn vbz,0.0021764021
pos_vb nnp nnp,0.0021626526
pos_nn in nns,0.0021602619
pos_dt nnp nnp nnp,0.0021546104
pos_jj nnp nnp cc,0.0021499805
word_you can do,0.002126529
pos_nns nn jj nnp,0.0021217612
pos_nnp nnp nnp nnp nnp,0.002111104
pos_nn cc nnp,0.00209933
pos_dt nnp nnp,0.00206649
word_if you want,0.0020615924
pos_jj jj nnp,0.0020592092
pos_nn nns cc,0.0020298907
word_large language models llms,0.0020159795
char_ |,0.002008227
pos_dt nn nn,0.0020003745
word_you like me to elaborate,0.0019861313
pos_prp vbp jj,0.0019821634
pos_nnp nn nn nnp,0.0019533837
pos_in nnp nnp,0.001918185
pos_vbg in dt,0.0019133918
char_al ,0.0018990254
char_he,0.0018666539
word_if you want to,0.0018347021
pos_nns vbp rb,0.0018344201
pos_jj nns vbp,0.0018322926
char_ing ,0.0018264737
pos_dt nns vbp,0.0018254076
char_ns ,0.0018053707
pos_nnp cd nnp nnp,0.0018032044
pos_nns in prp,0.0018009341
pos_cd vb jj,0.0017803878
